fredag 15. mars 2024	17:56:17
Time(s)	SP-1	SP-2	SP-3	SP-4	SP-5	SP-6	SP-7	SP-8	SP-9	SP-10	SP-11	SP-12	SP-13	SP-14	SP-15	SC-1	SP-16	SP-17	SP-18	SP-19	SP-20	SP-21	SP-22	SP-23	SP-24	SP-25	SP-26	SP-27	SP-28	SP-29	SP-30	
1,000000	1205,491611	181,019943	174,496184	189,172601	212,338404	227,420626	237,483938	267,517604	245,953598	223,482515	286,839030	314,559015	304,086190	303,248325	320,603502	4,617978	212,630911	337,733149	329,831841	350,131391	347,490151	361,879929	399,218396	381,340187	402,617847	421,183955	400,403277	405,598125	414,777619	462,081985	471,134411
2,000000	1205,491619	179,234634	170,446517	182,710133	204,892303	218,347667	227,223478	255,418963	233,264146	215,327723	277,340485	303,763470	292,486584	286,329794	305,534196	4,389912	218,662607	325,609359	315,522665	337,364616	338,143696	351,561601	389,749064	382,916856	399,176981	418,516898	406,511519	407,851134	413,527502	462,923630	475,343380
3,000000	1205,491624	176,616171	166,990996	179,348138	200,508333	212,579528	225,367608	250,613672	228,017559	208,946488	271,076615	297,518723	287,268945	281,505981	298,343870	4,266052	222,635332	321,123231	314,890252	343,965081	339,335301	349,924063	390,510437	394,798758	406,374082	421,307549	415,722555	416,261126	416,243651	469,092236	484,987991
4,000000	1205,491626	176,238074	168,407555	182,654244	203,598503	215,125921	232,223551	254,237211	232,804677	208,670674	272,594256	299,152453	289,245411	288,205287	301,365703	4,300508	225,919163	323,365562	324,450000	357,918853	348,469590	354,678055	398,823940	409,571204	419,039238	431,260518	427,943943	428,610699	423,053497	479,482051	496,941904
5,000000	1205,491628	177,286506	171,094213	186,484882	208,441942	220,239530	238,907607	259,779024	240,586855	212,223974	278,045910	304,835403	295,183733	297,550911	309,045078	4,410802	229,002299	329,003989	336,011522	369,890680	359,146670	361,588937	409,501227	419,921088	429,490628	440,784467	440,418988	438,825526	431,350487	489,954686	505,644211
6,000000	1205,491629	178,588089	173,518539	189,303531	212,451515	224,623060	243,103807	264,879549	246,781850	216,740772	283,576853	311,286689	301,460606	305,174521	316,479254	4,524930	231,866676	335,262604	344,779140	377,538573	368,027150	366,857700	419,035252	426,875629	436,639388	447,899571	450,902834	445,782547	438,963576	497,788836	511,232755
7,000000	1205,491630	179,503554	174,783642	190,730179	214,777766	227,357449	245,895745	268,906374	251,144981	221,033163	288,291045	317,234286	307,023048	311,237193	322,983306	4,622538	234,646976	341,319001	351,585922	383,778502	375,174958	371,050866	427,003246	432,604598	442,523525	453,684267	459,479926	451,382860	445,627899	504,081717	515,918080
8,000000	1205,491630	180,338645	176,105195	192,322824	216,935080	229,954940	248,706081	272,415578	254,812589	225,034248	292,385573	322,467098	311,679298	316,104144	328,380855	4,704293	237,365475	346,761727	356,951760	388,642315	380,761820	374,350521	433,392824	437,015664	447,144888	458,375114	466,235880	455,772634	451,130448	508,856352	519,662877
9,000000	1205,491630	181,127329	177,231931	193,451043	218,526652	231,592851	250,023834	275,026921	257,118711	228,233560	295,499630	326,553154	315,030295	319,588970	332,476732	4,769556	240,025572	351,228566	360,742394	391,912291	384,737609	377,083093	438,266052	439,864115	450,484894	462,054857	471,378937	459,041981	455,553323	512,323106	522,189013
10,000000	1205,491630	181,732353	177,973000	194,228946	219,515081	232,720371	251,109245	276,898879	258,620840	230,632039	297,724286	329,521268	317,313976	321,915267	335,370016	4,812272	242,618488	354,557641	363,123781	393,801834	387,245071	379,450599	441,519667	441,418814	452,249376	464,325053	474,671623	460,782102	458,513682	514,032425	523,356284
